id,name,price,stock,discount,description,categoryId,createdAt,updateAt,deleteAt
1,Pelota de Goma,2500,300,23,"Juguete colorido y divertido. No olo es un juguete, sino también un dispensor de comida con velocidad lenta.",2,,,
2,Alimento Maxxium Premium Plud,9860,53,15,"Para perros adultos, todos los tamaños sabor mix en bolsa de 20kg.",5,,,
3,Pesa de goma,1000,60,5,"Colores, Rosa, verde o Azul. ;Medida 14cm aprox. Juguete de excelente calidad.",2,,,
4,Juguete pesa dental,1500,20,5,Sus protuberancias masajean las encias y ayudan a limpiar los dientes y esapcios interdentales.,2,,,
5,Torre de gato,17000,10,20,Elegante diseño de cactus: el poste rasacdor estético con forma de cactus con aspecto saturado de color seguramente llamará toda la atención de tu gato y añadirá un elemento único a tu hogar moderno.,2,,,
6,Suéter de invierno para gatos,4500,26,50,"Ultra suave y cálido: fabricado con 42% acrilico, 30% PBT y 28% nailon. El material de alta calidad hace que el suéter para gato sea súper suave y cómodo de llevar y retiene el calor corporal de tu mascota.",4,,,
7, Suéteres de Perro de Tela de Invierno,6000,13,30,"Suave y térmica: la chaqueta de forro polar para perro está hecha de material polar de calidad, que es suave y agradable al tacto, no daña la piel del perro, se puede aplicar con confianza",4,,,
8,Capa Harry potter,7500,36,30," Material de alta calidad: la capa para mascotas está hecha de material de satén de alta calidad, que es suave y cómodo, ligero y duradero, y no se siente restringido en las mascotas.",4,,,
9,"Arnés Reflectante para Mascotas",13000,5,42,"Comodidad y seguridad: combinado con un diseño ergonómico, se adapta al cuerpo de la mascota y el material es suave y transpirable. Si quieres la máxima comodidad, el babero es una excelente opción",1,,,
10,"Juego de arnés y correa para perro",12000,21,5,"Sin tirones y ajustable: menos cobertura, más comodidad: lleva un diseño envolvente de 360 grados y malla de aire en el interior puede evitar dañar la piel del cachorro como sea posible y adopta un diseño de ajuste de cuatro puntos, se adapta al busto de la mascota para reducir la posibilidad de que se rompa.",1,,,
11,Arnes Correa,5000,63,25,"Fabricado en 100% poliéster ligero de alta calidad y resistencia para brindar el máximo confort, distribuyendo uniformemente la presión de la correa en cuello y hombros sin riesgo de lastimarlo o dañar su pelo.",1,,,
12,"Purina Friskies Party Mix",2500,130,34," Una (1) lata de 597 ml – Purina Friskies, El pollo real es el ingrediente #1. ",5,,,
13,"Arenero para Gato",7860,42,30,Arenero para gatos fabricado en plástico resistente y duradero; además es fácil de limpiar y no guarda olores ni manchasArenero para gatos fabricado en plástico resistente y duradero; además es fácil de limpiar y no guarda olores ni manchas,1,,,
14,Bolsa de Transporte para mascotas,16000,63,25," Bolsa de transporte de mascotas aprobada por la aerolínea: Dimensiones de 17,2 pulgadas de largo x 10 pulgadas de ancho x 11 pulgadas de alto (Sobre 43,2 cm x 25,4 cm x 27,9 cm). Diseñado con un techo ventilado para cumplir con todas las regulaciones de las aerolíneas debajo de los asientos delanteros.",1,,,
